plataforma,titulo,anio,metacritic,portada
PlayStation 5,Demon's Souls (Remake),2020,92,https://gaming-cdn.com/images/products/9600/orig/demon-s-souls-remake-edition-pc-cover.jpg?v=1753366910
PlayStation 5,Ratchet & Clank: Rift Apart,2021,88,https://i.ytimg.com/vi_webp/ai3o0XtrnM8/maxresdefault.webp
PlayStation 5,Returnal,2021,86,https://i.ytimg.com/vi/r4d4hF9EZfc/maxresdefault.jpg
PlayStation 5,God of War Ragnarök,2022,94,https://i.ytimg.com/vi/UPKClyOJTZM/maxresdefault.jpg
PlayStation 5,Marvel's Spider-Man 2,2023,90,https://gaming-cdn.com/images/products/15416/orig/marvel-s-spider-man-2-playstation-5-juego-playstation-store-estados-unidos-cover.jpg?v=1743428960
PlayStation 5,Final Fantasy XVI,2023,88,https://gaming-cdn.com/images/products/7025/orig/final-fantasy-xvi-playstation-5-juego-playstation-store-europe-cover.jpg?v=1736437759
PlayStation 5,Horizon Forbidden West,2022,88,https://cdn.mos.cms.futurecdn.net/tNdd6BoNUcwkSdrv3qsqT-1200-80.jpeg
PlayStation 5,Resident Evil 4 Remake,2023,93,https://i.ytimg.com/vi/O75Ip4o1bs8/maxresdefault.jpg
PlayStation 5,Elden Ring,2022,96,https://techraptor.net/sites/default/files/2022-02/Elden%20Ring%20Featured%20Image.jpg
PlayStation 5,Astro's Playroom,2020,90,https://i.ytimg.com/vi/m8P9Cwvkm3g/maxresdefault.jpg
Xbox Series X,Elden Ring,2022,96,https://techraptor.net/sites/default/files/2022-02/Elden%20Ring%20Featured%20Image.jpg
Xbox Series X,The Witcher 3: Wild Hunt – Complete Edition,2015,94,https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg
Xbox Series X,Forza Horizon 5,2021,92,https://gaming-cdn.com/images/products/8701/orig/forza-horizon-5-pc-xbox-one-xbox-series-x-s-juego-microsoft-store-cover.jpg?v=1738767995
Xbox Series X,Halo Infinite,2021,87,https://i.ytimg.com/vi/EuuspAs7sUk/maxresdefault.jpg
Xbox Series X,Senua’s Saga: Hellblade II,2024,REPLACE_WITH_METACRITIC,https://gaming-cdn.com/images/products/16557/616x353/senua-s-saga-hellblade-ii-xbox-series-x-s-pc-juego-microsoft-store-cover.jpg?v=1739291287
Xbox Series X,Psychonauts 2,2021,87,https://gaming-cdn.com/images/products/9533/orig/psychonauts-2-xbox-one-xbox-series-x-s-juego-microsoft-store-cover.jpg?v=1738773991
Xbox Series X,Starfield,2023,83,https://gaming-cdn.com/images/products/14361/orig/starfield-xbox-series-x-s-juego-microsoft-store-cover.jpg?v=1738596369
Xbox Series X,Sea of Thieves,2018,79,https://i.blogs.es/7571e5/seathieves1/1366_2000.jpg
Xbox Series X,Forza Motorsport 7,2017,REPLACE_WITH_METACRITIC,hhttps://gaming-cdn.com/images/products/2143/orig/forza-motorsport-7-pc-xbox-one-xbox-series-x-s-juego-microsoft-store-europe-cover.jpg?v=1730912495
Xbox Series X,Hitman 3,2021,87,https://i.ytimg.com/vi/QJafrMGQXSM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDcvRvTxLiTyH0oEOw-1yVzuKJ-Uw
PC,Half-Life 2,2004,96,https://www.hd-tecnologia.com/imagenes/articulos/2024/11/Half-Life-2-esta-disponible-gratis-en-Steam-por-su-20o-aniversario-por-tiempo-limitado.jpg
PC,The Witcher 3: Wild Hunt,2015,94,https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg
PC,Counter-Strike: Global Offensive,2012,83,https://play-reactor.com/wp-content/uploads/2012/10/counter-strike-global-offensive.jpg
PC,StarCraft II,2010,88,https://gaming-cdn.com/images/products/3192/orig/starcraft-ii-campaign-collection-pc-mac-juego-battle-net-cover.jpg?v=1701360743
PC,Diablo II,2000,88,https://gaming-cdn.com/images/products/1656/orig/diablo-ii-pc-battle-net-cover.jpg?v=1765466882
PC,Portal 2,2011,95,https://upload.wikimedia.org/wikipedia/en/f/f9/Portal2cover.jpg
PC,DOOM (2016),2016,85,https://gaming-cdn.com/images/products/865/orig/doom-pc-steam-cover.jpg?v=1760450622
PC,Minecraft,2011,93,https://gaming-cdn.com/images/products/442/orig/minecraft-java-bedrock-edition-java-bedrock-edition-pc-juego-cover.jpg?v=1716387513
PC,Baldur's Gate 3,2023,96,https://gaming-cdn.com/images/products/4804/orig/baldur-s-gate-3-pc-juego-gog-com-cover.jpg?v=1710239606
PC,League of Legends,2009,80,https://cloudfront-us-east-1.images.arcpublishing.com/elespectador/3P4ZHYW7ORCQLDYBN2ANUKLSDA.jfif
Nintendo Switch,The Legend of Zelda: Breath of the Wild,2017,97,https://gaming-cdn.com/images/products/2616/orig/the-legend-of-zelda-breath-of-the-wild-switch-juego-nintendo-eshop-europe-cover.jpg?v=1730381682
Nintendo Switch,Super Mario Odyssey,2017,97,https://upload.wikimedia.org/wikipedia/en/8/8d/Super_Mario_Odyssey.jpg
Nintendo Switch,Metroid Dread,2021,88,https://locosxlosjuegos.com/wp-content/uploads/2021/08/dread.jpg
Nintendo Switch,Mario Kart 8 Deluxe,2017,92,https://gaming-cdn.com/images/products/2615/orig/mario-kart-8-deluxe-switch-juego-nintendo-eshop-europe-cover.jpg?v=1749052922
Nintendo Switch,Fire Emblem: Three Houses,2019,89,https://i.ytimg.com/vi/R-bwK-XIY6Y/maxresdefault.jpg
Nintendo Switch,Animal Crossing: New Horizons,2020,90,https://img-eshop.cdn.nintendo.net/i/1194c35fb26a1ac0c46c60857ac80b7ebf5f054aa2132c443eb2ec3bad7782a4.jpg
Nintendo Switch,Splatoon 3,2022,83,https://i.ytimg.com/vi/vDLVWWJ0nxg/maxresdefault.jpg
Nintendo Switch,Xenoblade Chronicles 3,2022,90,https://m.media-amazon.com/images/I/71CXkCugHEL._AC_UF894,1000_QL80_.jpg
Nintendo Switch,Luigi's Mansion 3,2019,86,https://gaming-cdn.com/images/products/4810/orig/luigi-s-mansion-3-switch-juego-nintendo-eshop-europe-cover.jpg?v=1730384087
Nintendo Switch,The Legend of Zelda: Tears of the Kingdom,2023,96,https://i.ytimg.com/vi/gp9aY09li1s/maxresdefault.jpg
